ground_truth,prediction,count
न,त,7
ल,न,8
त,म,2
7,0,1
र,क,1
ू,ृ,2
थ,च,1
थ,ध,2
इ,छ,1
 ,.,2
स,म,10
च,न,3
्, ,19
छ, ,1
म,स,5
 ,ा,7
त,ि,1
इ,ई,3
2,द,1
7,ु,1
र,1,1
ी,ि,3
ड,इ,1
र,ण,1
ा, ,15
र,ए,1
म,भ,2
ो,ा,5
श,आ,1
्,व,2
र, ,10
व,ट,1
ण, ,1
व, ,4
द, ,5
ज,न,3
ठ,व,3
ू,ु,6
ढ,े,1
 ,छ,1
ऐ,र,1
ल, ,1
ह, ,1
ष,क,2
ु,ो,1
ल,आ,1
त,र,1
ड,ह,1
8,ट,3
ः,.,2
द,ग,1
ू,्,4
प,य,3
ढ,ठ,2
े,ै,9
र,2,1
त,न,8
स,द,1
न,म,3
उ,इ,1
ू,ा,1
 ,फ,1
व,य,1
ँ,ं,1
ा,ो,10
र,ह,4
ु, ,13
घ,थ,1
ध,क,2
्,ु,7
ू, ,3
्,ा,7
म,न,4
ृ,ु,1
 ,ग,1
 ,र,6
 ,्,12
 ,न,1
 ,ु,6
ः,ा,1
ऊ,उ,3
ग,ज,1
व,प,4
ह,क,2
र,उ,1
ट,द,4
ठ,र,1
छ,6,1
फ,ह,2
द,ह,5
भ,स,1
॥,ए,1
।,ी,1
ग,ा,2
्,प,1
य, ,10
े,ो,5
ि,ा,1
ु,ि,1
ं,ँ,3
ु,ू,13
ह,द,1
इ,र,1
स,श,2
ई,इ,1
ै,े,4
भ,म,1
ष,व,3
त,ज,3
ऐ,औ,1
य,प,6
ं,ा,1
आ,ञ,1
ष,य,2
अ,ल,1
र,ो,1
्,न,2
घ,ु,1
 ,ष,1
ल,य,2
ो,स,1
न, ,2
च, ,4
प, ,4
म,ृ,1
 ,प,1
ि,ो,1
क,व,1
ड,ज,1
व,ु,1
ू,ह,1
झ, ,1
स,न,1
ह,स,2
ज, ,1
ऊ,क,1
म,र,2
य,ण,1
ऊ,र,1
 ,ड,1
र,ा,3
ढ,छ,1
प,म,2
म,प,3
ौ,ो,2
9,8,1
इ,व,1
प,फ,2
ई,र,1
ह,्,1
ण,र,5
अ, ,1
ु,ा,2
व,ष,3
फ,स,1
ृ,्,1
 ,ट,2
श,॥,1
्,आ,1
ी, ,1
ं,च,1
व,्,1
न,च,1
ब, ,1
ब,व,1
ा,ं,1
श,ग,1
:,ः,2
ब,क,1
य,थ,2
र,द,3
 ,ध,2
य,ष,3
र,व,3
त,क,1
व,क,4
-,इ,1
व,उ,1
च,व,5
ी,ो,1
र,9,1
म,त,1
म, ,3
ड,द,3
छ,व,1
त,प,2
इ,श,1
स,्,1
ठ,ट,4
ह,ु,1
।,भ,1
1,2,1
य,द,1
ं, ,4
1,व,2
क,छ,1
ा,त,1
च,्,1
 ,य,9
म,य,1
व,ब,2
ओ,श,1
 ,ो,1
प,व,2
.,्,1
घ,ध,3
र,ञ,1
त, ,2
न,र,4
स,ज,1
ष,अ,1
ग, ,3
च,ध,1
छ,च,1
ो,े,2
द,छ,2
य,व,2
क,फ,2
 ,े,2
 ,ँ,1
द,घ,1
.,-,1
थ,श,1
ढ,ष,1
र,त,5
ज,त,1
ी,ण,1
उ, ,1
द,ट,2
7,आ,1
।, ,6
्,ो,1
।,॥,1
ष,प,1
प,ष,2
ल,स,1
ि,्,1
 ,व,3
स,ं,1
 ,त,3
्,ः,1
ी,ा,2
उ,ड,1
स,क,1
ए,ण,1
क,ष,2
ा,्,2
्,ी,1
क,ह,1
उ,द,1
स,त,1
ि,ी,1
य,म,1
ु,्,2
ा,ी,2
त,ल,2
न,स,2
ा,ु,2
ग,म,1
द,प,2
4,8,1
ट,ष,1
ट,त,1
स, ,2
ष,घ,1
म,ं,1
घ,छ,2
ा,ौ,1
 ,ं,1
ल,ह,3
इ,ज,1
र,्,1
 ,ञ,1
न,ग,1
द,क,1
न,ज,1
उ,ग,1
ृ,ट,1
ड,उ,2
.,च,1
श,म,1
ञ,औ,1
ौ, ,1
., ,3
ट,ठ,1
ल,म,1
 ,ण,1
व,ऊ,1
ठ,ह,1
ह,र,1
र,ी,1
ि, ,2
म,्,1
क,आ,1
व,श,1
न,क,1
स,ल,1
ृ,े,1
च,त,1
ग,्,1
/,।,1
न,भ,1
ए,प,2
ं,े,1
.,य,1
ट,छ,1
ि,े,1
ग,व,1
र,ट,1
ड, ,1
ण,ो,1
े,र,1
ी,भ,1
व,ै,1
 ,अ,1
र,न,2
ो,ी,1
श,ा,1
 ,म,1
ज,ञ,1
्,ि,1
म,ह,1
स,र,1
 ,द,1
ज,ल,2
ङ, ,1
े,ि,1
ऽ,ऊ,1
/,प,1
ऽ,आ,1
।,ऽ,1
2,0,1
/, ,3
औ,आ,1
ष,ए,1
द,ड,3
ं,ि,1
6,8,1
6,9,1
श,ष,1
ऐ,इ,1
ल,फ,1
ह,न,1
च,ज,1
प,स,1
थ,य,1
द,्,1
च,आ,1
ग,ष,1
ल,त,2
ञ,न,1
ः,ं,1
ं,य,1
थ, ,1
श,थ,1
उ,ऊ,1
ँ, ,1
त,ष,1
ष,ल,1
ष,ब,1
इ,द,1
ह,श,1
थ,ष,1
न,व,1
अ,त,1
क,द,1
ठ,उ,1
ब,च,1
प,्,1
ए,र,1
2,1,1
ऐ,ए,1
ग,श,1
