ground_truth,prediction,count
\,़,1
 ,२,1
य,्,1
द,‌,1
 ,व,2
 ,ा,1
 ,ट,1
न,ल,1
थ,ष,1
प, ,1
ं, ,4
त,ल,3
 ,.,4
ज,न,5
न,ञ,2
न,स,1
र,ा,3
े,ि,1
द,इ,1
थ,प,2
अ,श,2
 ,्,10
घ,ष,1
ा,ठ,1
ड, ,1
्,़,1
र, ,15
ो,ी,3
घ,द,1
 ,य,2
क,छ,1
ु,ू,15
ड,उ,3
र,ग,2
ा, ,5
ङ,ह,1
्, ,20
ग, ,3
च,म,1
व,ल,2
म,भ,4
ण,र,1
ी, ,1
न, ,4
न,ह,2
ह,र,3
ग,य,2
 ,‌,5
र,ई,2
\, ,1
 ,१,1
ं,ँ,6
 ,ई,1
६, ,2
 , ,3
प,म,1
ा,ं,1
प,१,3
ा,२,1
इ,ई,1
च,ज,1
क,ू,1
च, ,1
ु, ,6
ू,ु,9
्,ु,8
ा,ै,1
क,र,1
‌,‍,1
द,ह,1
न,त,4
थ,न,1
ल,ह,1
े,ो,1
ह,द,3
त,ज,2
 ,ङ,1
त, ,4
न,ज,1
य,र,1
क,ल,1
य,म,1
ई,इ,2
ठ,ट,3
ू,्,1
ल,न,3
स,म,5
य, ,8
श,व,1
 ,ए,1
ः,.,2
त,म,1
य,ष,2
म,न,1
ऐ,ए,1
 ,े,1
श,र,2
ी,्,1
५,य,1
म, ,6
प,र,1
च,व,5
न,१,1
ि,६,1
द, ,2
ष,ध,1
ी,ि,4
म,क,1
ि,ी,1
इ,श,1
न,व,3
ी,़,1
उ,ा,1
:,ं,1
 ,ड,1
र,म,1
‍, ,3
ष,ट,1
ध,क,1
प,य,4
त,श,1
फ,७,1
ए,र,1
म,य,2
प,ष,2
ि,ै,1
ष,य,1
व,य,1
 ,र,5
ः,:,1
व,प,2
म,स,2
/,।,1
त,न,3
४,०,1
ः,म,1
ँ,ं,10
र,इ,1
.,‌,1
य,प,3
.,्,1
न,ग,1
भ,म,3
ा,र,1
 ,म,1
 ,ो,1
ू,़,1
द,ड,2
ो,ा,4
़,्,2
र,्,1
ू,य,1
ज,व,1
श,ा,2
्,त,1
फ,क,1
ह,६,1
प,ग,1
.,०,1
ढ,ठ,1
१,२,2
०, ,1
ट,द,2
ञ,ज,4
े,ै,3
ौ,ो,1
फ,स,1
र,ह,1
न,४,1
द,उ,1
द,ं,2
्,ष,1
श,प,1
क,ा,1
ञ,औ,1
ौ, ,1
., ,2
ै,े,1
इ,द,1
 ,ू,3
प,फ,1
 ,स,1
ह,ा,1
र,त,1
ु,ं,1
प,व,2
ठ,ढ,1
ह,स,1
स,ल,1
.,ढ,1
क,ो,1
ु,र,1
ल,छ,1
ा,ी,2
आ,अ,1
य,व,3
़,र,1
ए,ष,1
थ,ध,2
क,स,1
ष, ,1
व,ब,1
स,श,1
उ,इ,1
झ,ड,1
 ,ध,1
स,आ,1
ध, ,1
ल, ,3
ह, ,1
क, ,1
ि, ,1
ध,य,1
ल,ष,1
त,व,1
 ,भ,1
्,ि,1
म,ग,1
व,क,1
ट, ,1
न,म,1
भ,न,1
 ,क,2
ू, ,3
६,इ,1
द,क,1
त,स,1
ट,ठ,2
उ,ऊ,2
ी,ा,2
य,‌,1
५,१,1
र,ु,1
्,स,1
ग,श,1
र,े,1
ै, ,1
ड,छ,1
क,न,1
ु,ड,1
म,र,1
ु,ा,1
्,ा,3
व,न,1
‌, ,4
ऽ,ः,1
 ,ं,1
व,इ,1
ू,त,1
झ, ,1
व,.,1
य,उ,1
ऊ,उ,2
ा,ो,1
फ,ह,1
ल,.,1
्,औ,1
ो, ,1
घ,प,1
न,र,2
्,.,1
ख,र,1
ज, ,1
ल,व,1
ल,क,1
:,.,1
व,च,1
च,न,1
ढ,ह,1
व,ज,1
ष,‌,1
श,थ,1
ई,श,1
 ,ि,1
ष,स,1
र,व,2
झ,र,1
३,२,1
द,व,2
ग,र,1
य,थ,1
 ,ञ,1
‌,ग,1
द,ठ,1
छ,क,1
.,ल,1
ँ,क,1
च,्,1
 ,ष,1
क,ह,1
ल,ा,1
उ,द,1
ो,े,1
ल,र,1
ल,त,1
.,च,1
व, ,1
ज,आ,1
्,ग,1
ल,ु,1
 ,न,1
न,ष,1
॥,ी,1
:,ा,1
:,ः,1
ञ,आ,1
ठ,य,1
उ,ज,1
