ground_truth,prediction,count
य,प,4
द,ठ,1
े,ि,2
थ,्,1
 ,न,2
 ,ध,2
प,य,5
द,ह,2
थ,प,2
अ,ञ,1
र, ,10
्, ,15
ज, ,1
म,स,5
घ,च,1
व,ज,1
्,ा,2
म,र,1
ण,ा,3
अ,आ,1
त,ज,3
 ,ा,7
घ,द,1
 ,्,8
 ,य,2
ु,ू,14
आ,ओ,1
च,त,1
र,य,1
प, ,2
ड,उ,5
र,ग,1
ा, ,4
च,न,2
ण,र,1
ी,ा,5
ा,ि,1
न,ह,1
ह,र,1
ट,ठ,2
त,न,5
र,‌,1
ै, ,2
ष, ,1
ु, ,7
व,ठ,1
प,म,2
म,प,3
भ,म,3
छ,द,1
इ,ई,1
क,व,2
च, ,1
म,ड,1
ि, ,1
न, ,1
ू,ु,6
स,श,2
प,घ,1
औ,अ,1
 ,ौ,1
श,अ,1
ह,द,4
ा,ः,1
ल,क,1
 ,र,4
्,ं,2
र,न,1
व, ,5
त, ,2
य,ग,1
य,म,2
ँ,ै,1
ई,इ,2
ठ,ट,4
ू,्,1
 ,ट,1
ल,न,2
न,त,4
द, ,4
य,ष,1
ः,:,2
म,न,2
्,ु,2
५,द,1
प,द,1
च,व,3
द,उ,1
ी,ि,3
ा,ो,5
ं, ,3
व,र,1
 ,ग,1
 ,ि,1
 ,प,2
ि,ी,1
व,च,2
:,.,1
ष,ट,1
स,य,1
े, ,1
़, ,2
ध,४,1
ए,ू,1
 ,इ,2
म,य,3
ट,उ,1
प,ष,2
ै,े,2
ष,प,2
ि,ै,1
र,म,1
व,ध,2
व,घ,1
/,।,1
र,इ,1
अ,श,1
.,‌,2
ह,ू,1
त,क,1
., ,3
त,ल,1
फ,क,2
 ,‌,7
 ,क,2
 ,ो,1
व,क,1
ट,द,2
ो,ी,2
प,५,2
ष,य,2
द,ड,3
ो,ा,3
ँ,ं,7
न,च,1
ं,ँ,1
न,व,2
श,स,1
ि,्,1
फ,‌,1
म,क,1
प,ग,1
.,०,1
१,२,2
०, ,1
फ,स,1
न,३,1
श,ए,1
ी, ,1
े,ो,1
ञ,औ,1
ौ,:,1
प,फ,1
 ,स,1
र,त,2
प,व,2
ग,न,2
र,।,1
.,ु,1
ल,र,2
ा,ी,1
क,फ,1
थ,क,1
 ,ष,3
व,ब,1
न,ण,1
ग,र,2
झ,ड,1
ध,घ,1
ु,्,1
ल,प,1
र,ौ,1
ष,व,1
ध,थ,1
ल,श,1
ट, ,1
ै,ि,1
 ,ं,1
ल,ब,1
ि,न,1
स,ा,1
्,प,1
य, ,3
ज,न,3
व,ष,1
९,म,1
न,म,1
च,घ,1
भ,न,1
र,ई,1
ू, ,1
ो,े,2
त,स,1
उ,ऊ,1
उ,ड,1
र,स,1
‍, ,2
ग,म,1
ज,त,2
ः,.,1
ऽ,।,1
य,व,1
झ,त,1
द,छ,1
स,म,2
ग,ज,1
श,ण,1
क,द,1
घ,प,1
‌, ,2
ख,र,2
 ,व,1
ह,ड,1
ज,स,1
र,ा,1
य,च,1
झ,र,1
ढ,ह,1
श,थ,1
ण,स,1
क,त,1
ृ,ट,1
ष,स,1
र,व,1
२,३,1
ग,य,2
ु,ा,1
ौ,ो,1
ं,व,1
ष,ब,1
ङ,ड,1
त,भ,1
न,ञ,1
ँ,क,1
च,्,1
स,त,1
न,ल,1
ध,र,1
ा,्,1
ञ,ज,1
ो,ि,1
छ, ,1
उ, ,1
ल,त,1
.,च,1
६, ,1
म,व,1
४,८,1
ण,ग,1
भ,स,1
छ,इ,1
ञ,आ,1
ऊ,उ,1
्,़,1
त,ा,1
१,९,1
