ground_truth,prediction,count
:,ः,1
स,ष,1
प,य,4
श,ष,2
न,ण,1
झ,र,1
ु,ू,5
स,ी,1
्, ,15
ध,घ,2
न,ह,1
ह,र,1
ग,य,2
1,\,1
ठ,ट,2
ु,्,2
क,व,1
ी,ा,2
म,स,3
ह,े,1
 ,छ,1
त,ल,1
व,ठ,1
-,ह,1
 ,ा,8
त,ह,1
व,ष,2
 ,र,4
स,ल,1
त, ,4
र,न,1
ह,न,1
प,म,1
भ,म,4
.,-,1
ठ,व,1
द,इ,2
ू, ,1
व,ब,3
च,व,3
श,स,1
ण,म,1
त,-,1
ग,म,1
ु, ,5
र,द,2
घ,ष,1
र,स,2
उ,ई,1
.,य,1
प, ,1
ई,इ,2
उ,ऊ,1
द,छ,1
व, ,4
ष,प,1
ष,द,1
ट,व,1
य,प,2
र,त,1
ः,ह,1
॥,्,1
 ,।,1
त,न,4
ि,्,1
स, ,1
ं, ,1
च,र,1
ै,ं,1
ब,व,4
ह,ड,1
त,स,2
ल,र,1
ध,व,1
ा,म,1
ज, ,1
ू,ु,1
क, ,3
श,प,1
ः,.,1
-,ा,1
3,1,1
ि,े,3
श,म,1
ड,उ,1
र,ा,2
ै,े,3
 ,ह,1
 ,्,5
म,ञ,1
।,भ,1
/,्,1
/,न,1
।,ा,1
।,॥,1
 ,त,1
1,प,1
2, ,1
/, ,3
ा, ,5
े, ,2
ष,व,2
1,त,1
र,ह,1
इ,छ,1
 ,.,2
स,व,1
च,न,2
म,न,1
स,ए,1
ठ,उ,1
ो,ौ,1
ल,न,2
ो,ा,3
छ,6,1
., ,1
क,घ,1
ष, ,1
े,ो,2
ा,ु,2
ा,ो,5
त,ज,3
र, ,7
ण,य,1
ज,र,1
झ,ड,1
श,ा,1
 ,ष,1
ल,ण,1
उ,प,1
ल,ह,1
्,ज,1
ल, ,1
भ, ,1
ि, ,1
म,य,1
न,त,3
घ,य,3
ँ,ं,1
त,र,2
त,व,1
.,्,2
य,ष,1
भ,च,1
न,म,2
ञ,ल,1
े,ै,2
म,र,2
ा,स,1
ज,न,2
अ,आ,1
ड,ै,1
द,घ,1
ः,े,1
ग,प,1
न,र,2
इ,ई,1
प,श,1
1,2,2
द,ड,2
उ,ड,2
ष,्,1
ड,प,1
 ,ठ,1
य,म,3
स,म,5
ञ,आ,1
ङ,ड,1
ध,थ,1
ष,.,1
 ,ख,1
क,द,1
ष,ध,1
अ,ज,1
 ,य,1
 ,ु,1
ा,ी,2
र,ख,1
्,ु,1
्,प,1
 ,ू,1
ा,ि,1
ँ, ,1
व,च,2
ऊ,अ,1
ज,अ,1
क,ह,1
्,स,1
म, ,1
ो,ि,1
न,ञ,1
द,ं,1
ु,ड,1
ो,ी,1
प,व,1
ष,य,1
्,ो,1
ण,े,1
 ,ल,1
न,अ,1
न, ,1
य, ,1
र,ल,1
ो,े,1
त,च,1
व,प,1
ह,द,1
द,ध,1
द,ह,3
ध,र,1
6,9,1
1,.,1
ए,ऐ,1
र,ई,1
च, ,1
